username,va_name,current_followers,column,category
miriamrollqueen,CARLA,52400,1,50K+
miriamglowing,AARON,10700,3,10K-50K
miriamsweets,SAMUEL,10200,7,10K-50K
miriamluve,UNKNOWN,11000,13,10K-50K
miriamxsassy,UNKNOWN,15100,21,10K-50K
miriammdose,UNKNOWN,16300,25,10K-50K
miriamtales,UNKNOWN,17500,29,10K-50K
Miriamselflovee,UNKNOWN,23100,47,10K-50K
