post_url,creator,set_id,va,type,views,likes,comments,shares,bookmarks,engagement,account_username,account_followers,account_following,account_posts,account_likes,account_verified,scraped_at,scraping_method,scraping_success,engagement_rate,error
https://www.tiktok.com/t/ZTMmAeEUy/,Tyra,66,Jayeerrah,NEW,196,4,0,0,0,4,tyrapullup,0,0,0,0,False,2025-10-22T19:30:09.147602,api_response,True,,
https://www.tiktok.com/t/ZP8Atrqrm/,Ariri,1,Maricris,REPOST,0,0,0,0,0,0,Unknown,0,0,0,0,False,2025-10-22T19:30:41.208615,failed,False,0.0,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.tiktok.com/t/ZP8Atrqrm"
https://www.tiktok.com/t/ZTMmSKRHL/,Naomi,57,Abegail,REPOST,0,0,0,0,0,0,Unknown,0,0,0,0,False,2025-10-22T19:31:13.262711,failed,False,0.0,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.tiktok.com/t/ZTMmSKRHL"
