post_url,creator,set_id,va,type,views,likes,comments,shares,bookmarks,engagement,engagement_rate,account_username,account_followers,account_following,account_posts,account_likes,account_verified,post_description,hashtags,mentions,content_length,sound_title,sound_url,sound_author,has_sound,slide_count,slide_1,slide_2,slide_3,slide_4,slide_5,slide_6,slide_7,slide_8,slide_9,slide_10,slide_11,slide_12,scraped_at,scraping_method,scraping_success,data_quality
https://www.tiktok.com/@maracloudd/video/7550243000379559181,Mara,21,Leah,REPOST,988,40,22,0,0,62,6.28,maracloudd,8612,0,0,0,False,"For the boys... | elevones Vertigo | 0 | pecho | D | Tell me the saddest thing that's ever happened to you. I'm not talking ""I couldn't go out with my friends."" I'm talking the most gut wrenching, heart breaking thing ever. Keepers","fyp, relatable, pickuptruck, mentalhealth",,280,som-original-7489218187797220102,https://www.tiktok.com/music/som-original-7489218187797220102,,True,2,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550243000379559181/slide_1.jpg,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550243000379559181/slide_2.jpg,,,,,,,,,,,2025-10-22T00:59:37.601856,real_tiktok_scraper,True,High
https://www.tiktok.com/@naomifallinn/video/7550462758928649527,Naomi,27,Beverly,REPOST,1973,119,6,3,0,128,6.49,naomifallinn,5984,0,0,0,False,"if you ever see him spaced out, shaking his leg, biting his nails, blasting music or going silent... | just grab his attention, don't ask what's wrong, he's just remembering stuff he doesn't want to. just hold his hand and be there for him.",,,280,original-sound-6918489585085418245,https://www.tiktok.com/music/original-sound-6918489585085418245,,True,2,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550462758928649527/slide_1.jpg,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550462758928649527/slide_2.jpg,,,,,,,,,,,2025-10-22T00:59:45.663365,real_tiktok_scraper,True,High
https://www.tiktok.com/@naomibubbless/video/7550462964399213879,Naomi,37,Beverly,REPOST,307,37,5,0,0,42,13.68,naomibubbless,3895,0,0,0,False,"Behind all the anger, | Behind all the trust issues, | was just a boy who wanted to feel like he was something to someone at least once.","fyp, fypシ゚viral",,150,O-N-E-M-O-R-E-L-I-G-H-T-7171127074671332102,https://www.tiktok.com/music/O-N-E-M-O-R-E-L-I-G-H-T-7171127074671332102,,True,3,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550462964399213879/slide_1.jpg,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550462964399213879/slide_2.jpg,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550462964399213879/slide_3.jpg,,,,,,,,,,2025-10-22T00:59:53.573756,real_tiktok_scraper,True,High
https://www.tiktok.com/@naomisqueeze/video/7550463216585919799,Naomi,34,Beverly,REPOST,717,63,9,0,0,72,10.04,naomisqueeze,7242,0,0,0,False,"Behind all the anger, | Behind all the trust issues, | was just a boy who wanted to feel like he was something to someone at least once.",,,150,O-N-E-M-O-R-E-L-I-G-H-T-7171127074671332102,https://www.tiktok.com/music/O-N-E-M-O-R-E-L-I-G-H-T-7171127074671332102,,True,3,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550463216585919799/slide_1.jpg,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550463216585919799/slide_2.jpg,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550463216585919799/slide_3.jpg,,,,,,,,,,2025-10-22T01:00:03.211020,real_tiktok_scraper,True,High
https://www.tiktok.com/@naomipopss/video/7550463768099179831,Naomi,34,Beverly,REPOST,404,22,1,0,2211,2234,552.97,naomipopss,2575,0,0,0,False,He's a ten...,,,12,original-sound-6918489585085418245,https://www.tiktok.com/music/original-sound-6918489585085418245,,True,2,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550463768099179831/slide_1.jpg,https://pub-7f3727f6b8d9442a91c5e4c8c050b4c9.r2.dev/7550463768099179831/slide_2.jpg,,,,,,,,,,,2025-10-22T01:00:13.131198,real_tiktok_scraper,True,High
