account_username,account_followers,account_following,account_posts,account_likes,account_verified,test_status,extraction_method
megannprime,2961,117,353,24700,False,SUCCESS,UNIVERSAL_DATA
tyrabugged,1724,85,197,7800,False,SUCCESS,UNIVERSAL_DATA
sofiathighs,2615,102,405,25100,False,SUCCESS,UNIVERSAL_DATA
