post_url,scraped_at,views,likes,comments,shares,bookmarks,account_username,account_followers,extraction_method
https://www.tiktok.com/t/ZTMuUscW9/,2025-10-22T05:15:31.237645,556,34,4,0,3,nalanimire,0,api_response
https://www.tiktok.com/t/ZTMuUEG3c/,2025-10-22T05:15:42.857960,930,63,20,1,2,nalanidreamer,0,api_response
https://www.tiktok.com/t/ZTMuyRh5a/,2025-10-22T05:15:54.512179,839,63,9,1,3,nalaniscarlet,0,api_response
https://www.tiktok.com/t/ZP8A7kX4w/,2025-10-22T05:16:06.117370,1133,70,2,2,3,tyraslide,0,api_response
https://www.tiktok.com/t/ZP8A7L74E/,2025-10-22T05:16:19.151115,359,18,1,1,1,tyragotchu,0,api_response
