post_url,creator,set_id,va,type,scraped_at,error,scraping_success
https://www.tiktok.com/t/ZTMmT78be/,Mara,19,Leah,New,2025-10-22T00:56:31.874871,'CompleteTikTokScraper' object has no attribute '_extract_post_content',False
https://www.tiktok.com/t/ZTMmTvGqd/,Sofia,89,Pilar,REPOST,2025-10-22T00:56:42.263283,'CompleteTikTokScraper' object has no attribute '_extract_post_content',False
https://www.tiktok.com/t/ZP8AWUGAJ/,Tyra,4,Kyle,REPOST,2025-10-22T00:56:51.351270,'CompleteTikTokScraper' object has no attribute '_extract_post_content',False
